lessons_completed,quiz_score,progress,time_spent,skill_level,next_lesson,recommendation
1,86,17,200,Advanced,3,Next: Lesson 3 - The Perfume Pyramid
0,100,-5,79,Advanced,2,Next: Lesson 2 - Perfume Raw Materials
0,63,-7,132,Intermediate,1,Next: Lesson 1 - Introduction to Perfumery
4,62,83,161,Intermediate,5,Next: Lesson 5 - Quality Control & Finishing
5,90,100,284,Advanced,5,Course Complete! Try another course.
5,28,100,99,Beginner,4,Revisit Lesson 4 - Blending Techniques
2,31,38,167,Beginner,1,Revisit Lesson 1 - Introduction to Perfumery
1,18,28,20,Beginner,1,Revisit Lesson 1 - Introduction to Perfumery
5,28,100,232,Beginner,4,Revisit Lesson 4 - Blending Techniques
1,0,26,236,Beginner,1,Revisit Lesson 1 - Introduction to Perfumery
4,9,88,154,Beginner,3,Revisit Lesson 3 - The Perfume Pyramid
3,81,66,254,Advanced,4,Next: Lesson 4 - Blending Techniques
5,82,100,78,Advanced,5,Course Complete! Try another course.
1,57,17,176,Intermediate,2,Next: Lesson 2 - Perfume Raw Materials
3,91,64,113,Advanced,4,Next: Lesson 4 - Blending Techniques
0,70,2,239,Intermediate,1,Next: Lesson 1 - Introduction to Perfumery
1,19,27,150,Beginner,1,Revisit Lesson 1 - Introduction to Perfumery
2,0,36,225,Beginner,1,Revisit Lesson 1 - Introduction to Perfumery
1,78,18,209,Intermediate,2,Next: Lesson 2 - Perfume Raw Materials
2,68,40,113,Intermediate,3,Next: Lesson 3 - The Perfume Pyramid
0,58,-2,280,Intermediate,1,Next: Lesson 1 - Introduction to Perfumery
3,26,66,280,Beginner,2,Revisit Lesson 2 - Perfume Raw Materials
5,64,91,20,Intermediate,5,Course Complete! Try another course.
3,25,63,46,Beginner,2,Revisit Lesson 2 - Perfume Raw Materials
5,62,100,123,Intermediate,5,Course Complete! Try another course.
1,14,13,289,Beginner,1,Revisit Lesson 1 - Introduction to Perfumery
1,51,13,123,Intermediate,2,Next: Lesson 2 - Perfume Raw Materials
1,87,22,83,Advanced,3,Next: Lesson 3 - The Perfume Pyramid
2,1,46,141,Beginner,1,Revisit Lesson 1 - Introduction to Perfumery
5,94,91,92,Advanced,5,Course Complete! Try another course.
3,97,65,159,Advanced,4,Next: Lesson 4 - Blending Techniques
2,13,36,126,Beginner,1,Revisit Lesson 1 - Introduction to Perfumery
2,57,48,69,Intermediate,3,Next: Lesson 3 - The Perfume Pyramid
3,55,58,19,Intermediate,4,Next: Lesson 4 - Blending Techniques
5,8,100,24,Beginner,4,Revisit Lesson 4 - Blending Techniques
1,62,14,232,Intermediate,2,Next: Lesson 2 - Perfume Raw Materials
4,15,89,114,Beginner,3,Revisit Lesson 3 - The Perfume Pyramid
5,63,91,41,Intermediate,5,Course Complete! Try another course.
0,30,-3,100,Beginner,1,Next: Lesson 1 - Introduction to Perfumery
5,89,100,279,Advanced,5,Course Complete! Try another course.
2,93,46,205,Advanced,4,Next: Lesson 4 - Blending Techniques
2,100,39,211,Advanced,4,Next: Lesson 4 - Blending Techniques
3,83,54,258,Advanced,4,Next: Lesson 4 - Blending Techniques
1,21,18,209,Beginner,1,Revisit Lesson 1 - Introduction to Perfumery
3,71,59,23,Intermediate,4,Next: Lesson 4 - Blending Techniques
1,93,17,176,Advanced,3,Next: Lesson 3 - The Perfume Pyramid
3,39,63,195,Beginner,2,Revisit Lesson 2 - Perfume Raw Materials
1,89,12,231,Advanced,3,Next: Lesson 3 - The Perfume Pyramid
3,19,53,263,Beginner,2,Revisit Lesson 2 - Perfume Raw Materials
1,34,29,59,Beginner,1,Revisit Lesson 1 - Introduction to Perfumery
5,95,90,145,Advanced,5,Course Complete! Try another course.
2,68,39,254,Intermediate,3,Next: Lesson 3 - The Perfume Pyramid
3,80,64,235,Advanced,4,Next: Lesson 4 - Blending Techniques
5,34,100,201,Beginner,4,Revisit Lesson 4 - Blending Techniques
5,92,100,42,Advanced,5,Course Complete! Try another course.
3,88,57,245,Advanced,4,Next: Lesson 4 - Blending Techniques
4,87,76,93,Advanced,5,Next: Lesson 5 - Quality Control & Finishing
4,74,81,142,Intermediate,5,Next: Lesson 5 - Quality Control & Finishing
3,69,65,219,Intermediate,4,Next: Lesson 4 - Blending Techniques
0,19,-8,164,Beginner,1,Next: Lesson 1 - Introduction to Perfumery
1,42,27,23,Beginner,1,Revisit Lesson 1 - Introduction to Perfumery
5,69,97,24,Intermediate,5,Course Complete! Try another course.
3,72,55,272,Intermediate,4,Next: Lesson 4 - Blending Techniques
4,21,75,14,Beginner,3,Revisit Lesson 3 - The Perfume Pyramid
3,26,57,94,Beginner,2,Revisit Lesson 2 - Perfume Raw Materials
4,17,70,53,Beginner,3,Revisit Lesson 3 - The Perfume Pyramid
3,47,70,146,Beginner,2,Revisit Lesson 2 - Perfume Raw Materials
3,81,56,117,Advanced,4,Next: Lesson 4 - Blending Techniques
4,3,77,205,Beginner,3,Revisit Lesson 3 - The Perfume Pyramid
4,53,86,290,Intermediate,5,Next: Lesson 5 - Quality Control & Finishing
2,83,46,139,Advanced,4,Next: Lesson 4 - Blending Techniques
1,5,20,68,Beginner,1,Revisit Lesson 1 - Introduction to Perfumery
1,54,26,105,Intermediate,2,Next: Lesson 2 - Perfume Raw Materials
0,56,9,228,Intermediate,1,Next: Lesson 1 - Introduction to Perfumery
4,11,71,27,Beginner,3,Revisit Lesson 3 - The Perfume Pyramid
5,61,100,13,Intermediate,5,Course Complete! Try another course.
1,9,23,22,Beginner,1,Revisit Lesson 1 - Introduction to Perfumery
1,74,15,299,Intermediate,2,Next: Lesson 2 - Perfume Raw Materials
1,24,13,193,Beginner,1,Revisit Lesson 1 - Introduction to Perfumery
3,5,60,18,Beginner,2,Revisit Lesson 2 - Perfume Raw Materials
1,80,27,108,Advanced,3,Next: Lesson 3 - The Perfume Pyramid
5,85,100,198,Advanced,5,Course Complete! Try another course.
1,93,12,234,Advanced,3,Next: Lesson 3 - The Perfume Pyramid
0,17,-2,148,Beginner,1,Next: Lesson 1 - Introduction to Perfumery
0,35,9,161,Beginner,1,Next: Lesson 1 - Introduction to Perfumery
2,56,32,147,Intermediate,3,Next: Lesson 3 - The Perfume Pyramid
1,94,11,97,Advanced,3,Next: Lesson 3 - The Perfume Pyramid
5,85,100,20,Advanced,5,Course Complete! Try another course.
1,71,17,110,Intermediate,2,Next: Lesson 2 - Perfume Raw Materials
4,77,74,40,Intermediate,5,Next: Lesson 5 - Quality Control & Finishing
5,15,100,165,Beginner,4,Revisit Lesson 4 - Blending Techniques
0,54,5,267,Intermediate,1,Next: Lesson 1 - Introduction to Perfumery
2,81,38,163,Advanced,4,Next: Lesson 4 - Blending Techniques
1,29,10,113,Beginner,1,Revisit Lesson 1 - Introduction to Perfumery
1,60,16,34,Intermediate,2,Next: Lesson 2 - Perfume Raw Materials
5,23,97,71,Beginner,4,Revisit Lesson 4 - Blending Techniques
4,48,74,44,Beginner,3,Revisit Lesson 3 - The Perfume Pyramid
4,32,84,82,Beginner,3,Revisit Lesson 3 - The Perfume Pyramid
5,30,97,170,Beginner,4,Revisit Lesson 4 - Blending Techniques
3,28,60,132,Beginner,2,Revisit Lesson 2 - Perfume Raw Materials
1,45,25,229,Beginner,1,Revisit Lesson 1 - Introduction to Perfumery
0,76,-5,19,Intermediate,1,Next: Lesson 1 - Introduction to Perfumery
1,11,26,139,Beginner,1,Revisit Lesson 1 - Introduction to Perfumery
0,12,-9,148,Beginner,1,Next: Lesson 1 - Introduction to Perfumery
4,5,85,28,Beginner,3,Revisit Lesson 3 - The Perfume Pyramid
3,95,55,266,Advanced,4,Next: Lesson 4 - Blending Techniques
3,4,56,91,Beginner,2,Revisit Lesson 2 - Perfume Raw Materials
1,57,24,245,Intermediate,2,Next: Lesson 2 - Perfume Raw Materials
5,37,100,262,Beginner,4,Revisit Lesson 4 - Blending Techniques
2,69,44,235,Intermediate,3,Next: Lesson 3 - The Perfume Pyramid
1,1,11,236,Beginner,1,Revisit Lesson 1 - Introduction to Perfumery
4,14,90,245,Beginner,3,Revisit Lesson 3 - The Perfume Pyramid
4,91,71,135,Advanced,5,Next: Lesson 5 - Quality Control & Finishing
4,19,86,16,Beginner,3,Revisit Lesson 3 - The Perfume Pyramid
4,37,74,215,Beginner,3,Revisit Lesson 3 - The Perfume Pyramid
0,23,7,34,Beginner,1,Next: Lesson 1 - Introduction to Perfumery
2,30,49,149,Beginner,1,Revisit Lesson 1 - Introduction to Perfumery
3,95,66,233,Advanced,4,Next: Lesson 4 - Blending Techniques
4,5,80,158,Beginner,3,Revisit Lesson 3 - The Perfume Pyramid
4,8,82,161,Beginner,3,Revisit Lesson 3 - The Perfume Pyramid
0,36,-2,50,Beginner,1,Next: Lesson 1 - Introduction to Perfumery
2,65,49,219,Intermediate,3,Next: Lesson 3 - The Perfume Pyramid
0,95,-3,48,Advanced,2,Next: Lesson 2 - Perfume Raw Materials
1,85,10,216,Advanced,3,Next: Lesson 3 - The Perfume Pyramid
5,13,100,270,Beginner,4,Revisit Lesson 4 - Blending Techniques
3,71,51,55,Intermediate,4,Next: Lesson 4 - Blending Techniques
3,10,57,50,Beginner,2,Revisit Lesson 2 - Perfume Raw Materials
5,88,100,255,Advanced,5,Course Complete! Try another course.
3,68,67,85,Intermediate,4,Next: Lesson 4 - Blending Techniques
4,57,83,91,Intermediate,5,Next: Lesson 5 - Quality Control & Finishing
3,37,61,78,Beginner,2,Revisit Lesson 2 - Perfume Raw Materials
3,90,56,156,Advanced,4,Next: Lesson 4 - Blending Techniques
3,59,59,43,Intermediate,4,Next: Lesson 4 - Blending Techniques
4,69,78,48,Intermediate,5,Next: Lesson 5 - Quality Control & Finishing
0,75,-4,282,Intermediate,1,Next: Lesson 1 - Introduction to Perfumery
1,96,10,12,Advanced,3,Next: Lesson 3 - The Perfume Pyramid
3,68,56,79,Intermediate,4,Next: Lesson 4 - Blending Techniques
3,45,51,80,Beginner,2,Revisit Lesson 2 - Perfume Raw Materials
5,36,100,235,Beginner,4,Revisit Lesson 4 - Blending Techniques
0,0,4,176,Beginner,1,Next: Lesson 1 - Introduction to Perfumery
3,20,70,103,Beginner,2,Revisit Lesson 2 - Perfume Raw Materials
5,98,100,161,Advanced,5,Course Complete! Try another course.
0,53,-6,216,Intermediate,1,Next: Lesson 1 - Introduction to Perfumery
5,88,95,230,Advanced,5,Course Complete! Try another course.
4,6,70,264,Beginner,3,Revisit Lesson 3 - The Perfume Pyramid
0,50,-8,21,Intermediate,1,Next: Lesson 1 - Introduction to Perfumery
1,20,19,122,Beginner,1,Revisit Lesson 1 - Introduction to Perfumery
1,49,10,68,Beginner,1,Revisit Lesson 1 - Introduction to Perfumery
1,94,17,76,Advanced,3,Next: Lesson 3 - The Perfume Pyramid
1,51,18,248,Intermediate,2,Next: Lesson 2 - Perfume Raw Materials
1,6,21,73,Beginner,1,Revisit Lesson 1 - Introduction to Perfumery
0,53,5,96,Intermediate,1,Next: Lesson 1 - Introduction to Perfumery
0,87,-6,289,Advanced,2,Next: Lesson 2 - Perfume Raw Materials
0,72,8,223,Intermediate,1,Next: Lesson 1 - Introduction to Perfumery
1,11,21,104,Beginner,1,Revisit Lesson 1 - Introduction to Perfumery
0,79,-7,81,Intermediate,1,Next: Lesson 1 - Introduction to Perfumery
1,84,30,261,Advanced,3,Next: Lesson 3 - The Perfume Pyramid
3,78,54,191,Intermediate,4,Next: Lesson 4 - Blending Techniques
3,13,64,155,Beginner,2,Revisit Lesson 2 - Perfume Raw Materials
0,68,2,96,Intermediate,1,Next: Lesson 1 - Introduction to Perfumery
3,97,53,211,Advanced,4,Next: Lesson 4 - Blending Techniques
4,9,81,244,Beginner,3,Revisit Lesson 3 - The Perfume Pyramid
4,28,73,291,Beginner,3,Revisit Lesson 3 - The Perfume Pyramid
0,56,-1,147,Intermediate,1,Next: Lesson 1 - Introduction to Perfumery
3,60,55,267,Intermediate,4,Next: Lesson 4 - Blending Techniques
0,55,-8,118,Intermediate,1,Next: Lesson 1 - Introduction to Perfumery
4,79,85,42,Intermediate,5,Next: Lesson 5 - Quality Control & Finishing
3,23,60,179,Beginner,2,Revisit Lesson 2 - Perfume Raw Materials
1,65,10,246,Intermediate,2,Next: Lesson 2 - Perfume Raw Materials
4,52,71,69,Intermediate,5,Next: Lesson 5 - Quality Control & Finishing
0,22,0,85,Beginner,1,Next: Lesson 1 - Introduction to Perfumery
2,90,49,124,Advanced,4,Next: Lesson 4 - Blending Techniques
2,88,34,265,Advanced,4,Next: Lesson 4 - Blending Techniques
5,100,91,216,Advanced,5,Course Complete! Try another course.
4,94,84,116,Advanced,5,Next: Lesson 5 - Quality Control & Finishing
0,25,-8,64,Beginner,1,Next: Lesson 1 - Introduction to Perfumery
1,64,26,184,Intermediate,2,Next: Lesson 2 - Perfume Raw Materials
4,99,73,38,Advanced,5,Next: Lesson 5 - Quality Control & Finishing
4,20,81,95,Beginner,3,Revisit Lesson 3 - The Perfume Pyramid
5,56,100,95,Intermediate,5,Course Complete! Try another course.
2,41,34,137,Beginner,1,Revisit Lesson 1 - Introduction to Perfumery
0,47,8,136,Beginner,1,Next: Lesson 1 - Introduction to Perfumery
1,43,23,103,Beginner,1,Revisit Lesson 1 - Introduction to Perfumery
1,54,30,226,Intermediate,2,Next: Lesson 2 - Perfume Raw Materials
0,7,2,203,Beginner,1,Next: Lesson 1 - Introduction to Perfumery
3,3,60,115,Beginner,2,Revisit Lesson 2 - Perfume Raw Materials
3,24,58,37,Beginner,2,Revisit Lesson 2 - Perfume Raw Materials
0,98,-7,24,Advanced,2,Next: Lesson 2 - Perfume Raw Materials
3,84,51,299,Advanced,4,Next: Lesson 4 - Blending Techniques
1,50,14,157,Intermediate,2,Next: Lesson 2 - Perfume Raw Materials
5,68,100,200,Intermediate,5,Course Complete! Try another course.
4,2,76,86,Beginner,3,Revisit Lesson 3 - The Perfume Pyramid
5,30,92,118,Beginner,4,Revisit Lesson 4 - Blending Techniques
2,39,41,70,Beginner,1,Revisit Lesson 1 - Introduction to Perfumery
1,17,20,139,Beginner,1,Revisit Lesson 1 - Introduction to Perfumery
